Frame,Clase,ID,Xmin,Ymin,Xmax,Ymax
5,car,1,578.3804321289062,694.1355590820312,697.5386962890625,968.5985717773438
5,car,2,772.6884155273438,813.9796142578125,897.1249389648438,1072.7156982421875
5,pedestrian,3,1178.2908935546875,534.445068359375,1244.37158203125,573.7022705078125
5,pedestrian,4,955.804931640625,824.9078979492188,1003.3960571289062,875.572265625
5,pedestrian,5,694.3912353515625,1025.0152587890625,750.9677124023438,1074.1834716796875
5,pedestrian,6,960.046630859375,662.054931640625,996.557861328125,708.9891357421875
5,motor,7,146.32369995117188,921.2132568359375,252.16580200195312,986.022216796875
5,pedestrian,8,931.52197265625,467.5115966796875,966.5354614257812,501.33697509765625
5,motor,9,77.94739532470703,784.4486694335938,159.74844360351562,826.1015625
5,pedestrian,10,1182.6826171875,375.3412780761719,1218.8458251953125,419.1677551269531
