Frame;Clase;ID;Xmin;Ymin;Xmax;Ymax
3;car;39;1596.834717;478.327759;1648.492554;516.392456
3;car;40;670.863647;376.601593;714.721008;403.784882
3;car;41;1852.607422;559.991394;1919.116577;608.291809
3;car;42;1566.243042;488.834900;1626.535889;538.896240
3;car;43;1615.637817;531.587219;1703.078491;574.858765
3;car;44;1882.757935;591.967896;1919.953613;648.288147
3;car;45;1097.398682;284.632355;1122.096680;300.068726
3;car;46;1645.657349;546.111877;1737.528198;592.074951
3;car;47;261.010376;320.470001;306.761108;348.425568
3;car;48;1090.254272;258.415375;1106.773926;270.567200
3;car;49;1677.483521;492.493622;1750.362427;544.676636
3;car;50;1077.191406;379.654938;1110.578979;408.449463
3;car;51;1042.880493;280.677490;1062.439575;298.610596
3;car;52;706.078247;373.758118;747.873474;402.024902
3;car;53;1734.464111;554.446350;1832.831543;613.325989
3;car;54;1857.380615;704.291077;1919.895996;785.646118
3;car;55;400.328278;356.232452;466.246399;388.255005
4;car;1;922.154053;750.611572;1023.292786;900.594055
4;car;2;1078.884888;614.562805;1151.865234;705.559021
4;car;3;955.118958;587.716431;1019.865845;658.653809
4;car;4;978.443909;503.683228;1035.325439;561.671143
4;car;5;1071.824341;409.435394;1109.318848;447.840607
4;car;6;1151.069702;486.025818;1205.751587;540.562317
4;car;7;1012.516235;367.968719;1042.960693;396.326752
4;car;8;551.394165;368.087463;609.843506;400.338470
4;car;9;1773.619751;711.276794;1919.267700;801.880676
4;car;10;1624.963013;576.543274;1725.668335;656.023804
4;car;11;1074.611450;315.622223;1093.775391;334.068268
4;pedestrian;12;1385.380005;728.421387;1413.562256;804.421753
4;pedestrian;13;2.770939;586.661621;32.714886;645.004822
4;car;14;639.891663;362.583649;675.179993;388.573792
4;car;15;783.077026;377.750946;831.333069;408.543304
4;car;16;348.788849;370.870941;425.746643;400.795898
4;car;17;291.449860;324.723267;340.812744;350.725098
4;car;18;123.536545;343.600098;178.325668;378.025940
4;car;19;1708.031494;587.727051;1821.559326;661.857544
4;car;20;73.243210;344.473938;123.510185;377.221039
4;car;21;507.826477;339.390533;547.796936;364.523773
4;car;22;1570.080078;546.270569;1653.506592;609.333374
4;car;23;1788.829834;507.409882;1844.406128;548.690369
4;car;24;1222.315308;426.370697;1313.149902;461.958649
4;car;25;1831.172729;598.888062;1908.422974;667.930298
4;car;26;1864.403687;512.543030;1919.824829;555.182495
4;car;27;1112.447632;325.703186;1138.698730;346.766846
4;car;28;1107.733154;307.636597;1129.225952;323.174072
4;car;29;205.354431;338.468231;274.053833;365.447662
4;car;30;49.306240;315.374939;105.810570;341.959198
4;car;31;300.973724;350.166504;355.794006;385.997772
4;car;33;13.120580;325.106018;73.668114;351.400574
